Clade0,Clade1,Clade2,Clade3,Clade4,Clade5,Order,Stem or crown (order level),Family,N_extant,N_fossils,oldest_fossil,youngest_fossil,root_est,root_lower,root_upper,ext_est,ext_lower,ext_upper,q_est,q_lower,q_upper,a_est,a_lower,a_upper,sig2_est,sig2_lower,sig2_upper,Horizons,alpha,strat_range,marsh_origin_lower,marsh_origin_upper,marsh_ext_lower,marsh_ext_upper
Australosphenida,NA,NA,NA,Monotremata,NA,NA,Extinct order,Kollikodontidae,0,1,96,96,97.64714168,96.00038412,100.9479914,94.72428037,92.27733326,95.99997653,0.964085897,0.000331044,3.003982597,36.86658053,0.001683508,91.88909814,1.626391793,-1.316779797,3.808691049,1,NA,0,96,NA,NA,96
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Lagomerycidae,0,16,20,9,21.28109717,20.00004752,23.86314231,8.338411961,7.261641225,8.999853832,0.829713609,0.022268063,1.797786031,8.20148501,0.003991168,20.47363602,-0.71727128,-2.699928506,1.779255455,25,0.17,11,20,21.87,7.13,9
Theriiformes,Allotheria,NA,NA,NA,NA,Multituberculata,Extinct order,Lambdopsalidae,0,5,59,57,60.22015495,59.00026237,62.48107178,55.28385718,54.09133817,55.99996461,0.613521039,0.004200721,1.572704411,19.02014757,0.003390796,50.98984987,1.620840066,-0.63413184,3.392567643,5,1.47,2,59,61.94,54.06,57
Theriiformes,Theria,Eutheria,Placentalia,Euarchontoglires,Glires,Rodentia,Stem,Laredomyidae,0,1,42,42,43.64992334,42.00073821,46.94989812,40.7961282,38.2048943,41.99995933,0.973187555,0.000179499,2.938448672,38.25207271,0.019908859,89.98695326,1.676065332,-0.992603157,3.727991902,1,NA,0,42,NA,NA,42
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Notoungulata,Extinct order,Leontiniidae,0,31,41,11,44.64222311,41.00054934,50.98919555,9.302147669,6.569885836,10.9999114,0.0864448,0.000477373,0.215671203,4.10874051,0.001469521,9.619720923,1.535591221,-0.389990291,3.19659485,53,0.07,30,41,43.1,8.9,11
Theriiformes,Theria,Eutheria,Placentalia,Euarchontoglires,Glires,Lagomorpha,Crown,Leporidae,73,293,55,1,60.30674475,55.00136085,70.93353292,0,0,0,0.0205061,0.000435237,0.051215551,5.188131513,2.604666349,7.702941736,4.962570583,3.630118229,6.452919605,636,0.004728834,54,55,55.25535706,0,0
Theriiformes,Theria,Eutheria,NA,NA,NA,Leptictida,Extinct order,Leptictidae,1,60,66,1,72.37620862,66.99342079,80.15032142,0,0,0,0.067063097,0.018413824,0.135461369,0.286534593,4.53E-05,0.844409069,2.156718971,0.443769196,3.753232766,114,0.04,65,66,68.6,0,1
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Stem,Leptochoeridae,0,18,45,32,47.59924623,45.00274566,52.2044431,30.2640544,29.08793037,30.99995139,0.083340478,0.000107566,0.253490483,16.35670874,0.035297857,31.18918026,1.930027765,0.682259239,3.324999553,43,0.09,13,45,46.17,30.83,32
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Leptomerycidae,0,38,42,15,44.3502404,42.00190394,47.60355288,12.576063,10.10973876,13.99873433,0.156689312,0.043891392,0.309782621,1.154699074,0.000361277,3.281234755,2.410120019,1.022457971,3.709136889,82,0.05,27,42,43.35,13.65,15
Theriiformes,Theria,Eutheria,Placentalia,Laurasiatheria,Scrotifera,Artiodactyla,Crown,Lipotidae,1,4,8,1,10.9194977,8.000430513,16.52474494,0,0,0,0.146679246,0.000151255,0.427473052,13.67473465,0.006501389,35.97873706,0.740305633,-2.142275619,3.248677962,6,0.820564203,7,8,13.74394942,0,0
